"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24343","Check ""Опис"" input field","Edit unit","Mon Nov 11 14:36:30 GMT 2024","passed","Mon Nov 11 14:36:54 GMT 2024","","","",""
"","25531","Check ""Місце розташування технічного засобу"" functionality","Edit unit","Mon Nov 11 14:36:55 GMT 2024","passed","Mon Nov 11 14:37:21 GMT 2024","","","",""
"","21592","Check ""Виробник транспортного засобу"" input field","Edit unit","Mon Nov 11 14:35:20 GMT 2024","passed","Mon Nov 11 14:35:41 GMT 2024","","","",""
"","23059","Unit without changes","Edit unit","Mon Nov 11 14:34:30 GMT 2024","passed","Mon Nov 11 14:34:53 GMT 2024","","","",""
"","19313","Create API request for ""Create Unit""","API tests","Mon Nov 11 14:34:08 GMT 2024","passed","Mon Nov 11 14:34:27 GMT 2024","","","",""
"","22777","Check ""Назва моделі"" input field","Edit unit","Mon Nov 11 14:35:42 GMT 2024","passed","Mon Nov 11 14:36:05 GMT 2024","","","",""
"","23969","Check ""Технічні характеристики"" input field","Edit unit","Mon Nov 11 14:36:05 GMT 2024","passed","Mon Nov 11 14:36:29 GMT 2024","","","",""
"","25332","Check ""Назва оголошення"" input field","Edit unit","Mon Nov 11 14:34:54 GMT 2024","passed","Mon Nov 11 14:35:19 GMT 2024","","","",""
